Category,Accuracy,Recall,F1-Score,Precision,Time
C31-Enviornment,0.75,0.49283667621776506,0.6596356663470757,0.9971014492753624,2560.2189955711365
C3-Art,0.8316901408450704,0.6590257879656161,0.7937877480586712,0.9978308026030369,6213.686239480972
C38-Politics,0.8598591549295774,0.7191977077363897,0.8345802161263507,0.994059405940594,2498.8711111545563
C11-Space,0.7732394366197183,0.5401146131805158,0.7007434944237918,0.9973544973544973,1259.6531071662903
C39-Sports,0.8190140845070423,0.6332378223495702,0.7747589833479404,0.9977426636568849,898.5328862667084
C19-Computer,0.782394366197183,0.5587392550143266,0.7162534435261707,0.9974424552429667,996.7925486564636
C7-History,0.8323943661971831,0.660458452722063,0.7948275862068965,0.9978354978354979,3728.418431043625
C34-Economy,0.7992957746478874,0.5945558739255015,0.7443946188340808,0.9952038369304557,2771.936493873596
C32-Agriculture,0.8591549295774648,0.7191977077363897,0.8338870431893688,0.9920948616600791,2033.770971775055
Avg_score,0.8118935837245697,0.619707099649793,0.7614298666733718,0.9962961633888194,22961.880784988403
